Date, Active, Recoveries, Deaths,
2020-03-15 00:00:00,    56.00000,     1.00000,     2.00000,
2020-03-16 00:00:00,    65.00000,     1.00000,     2.00000,
2020-03-17 00:00:00,    76.00000,     3.00000,     2.00000,
2020-03-18 00:00:00,    95.00000,     3.00000,     2.00000,
2020-03-19 00:00:00,   124.00000,     3.00000,     3.00000,
2020-03-20 00:00:00,   153.00000,     3.00000,     3.00000,
2020-03-21 00:00:00,   219.00000,     3.00000,     4.00000,
2020-03-22 00:00:00,   234.00000,    27.00000,     4.00000,
2020-03-23 00:00:00,   247.00000,    51.00000,     4.00000,
2020-03-24 00:00:00,   328.00000,    52.00000,     6.00000,
2020-03-25 00:00:00,   443.00000,    52.00000,     8.00000,
2020-03-26 00:00:00,   505.00000,    72.00000,    12.00000,
2020-03-27 00:00:00,   602.00000,    72.00000,    17.00000,
2020-03-28 00:00:00,   654.00000,    72.00000,    19.00000,
2020-03-29 00:00:00,   709.00000,    91.00000,    20.00000,
2020-03-30 00:00:00,   714.00000,   228.00000,    24.00000,
2020-03-31 00:00:00,   787.00000,   240.00000,    27.00000,
2020-04-01 00:00:00,   853.00000,   248.00000,    32.00000,
2020-04-02 00:00:00,   973.00000,   256.00000,    36.00000,
2020-04-03 00:00:00,  1045.00000,   266.00000,    42.00000,
2020-04-04 00:00:00,  1128.00000,   279.00000,    44.00000,
2020-04-05 00:00:00,  1228.00000,   280.00000,    46.00000,
2020-04-06 00:00:00,  1249.00000,   325.00000,    53.00000,
2020-04-07 00:00:00,  1317.00000,   338.00000,    60.00000,
2020-04-08 00:00:00,  1372.00000,   358.00000,    65.00000,
2020-04-09 00:00:00,  1449.00000,   365.00000,    79.00000,
2020-04-10 00:00:00,  1517.00000,   375.00000,    82.00000,
2020-04-11 00:00:00,  1612.00000,   440.00000,    89.00000,
2020-04-12 00:00:00,  1645.00000,   468.00000,    95.00000,
2020-04-13 00:00:00,  1664.00000,   515.00000,    98.00000,
2020-04-14 00:00:00,  1774.00000,   559.00000,   109.00000,
2020-04-15 00:00:00,  1859.00000,   596.00000,   115.00000,
2020-04-16 00:00:00,  1916.00000,   631.00000,   122.00000,
2020-04-17 00:00:00,  2629.00000,     0.00000,   129.00000,
2020-04-18 00:00:00,  2707.00000,     0.00000,   132.00000,
