Date, Active, Recoveries, Deaths, Infected,
2020-03-16 00:00:00,    56.00000,     1.00000,     2.00000,   112.00000,
2020-03-16 02:24:00,    57.10391,     1.00000,     2.02744,   114.25858,
2020-03-16 04:48:00,    58.22795,     1.00358,     2.05541,   116.65140,
2020-03-16 07:12:00,    59.37422,     1.01085,     2.08394,   119.17506,
2020-03-16 09:36:00,    60.54472,     1.02193,     2.11303,   121.82666,
2020-03-16 12:00:00,    61.74134,     1.03692,     2.14269,   124.60370,
2020-03-16 14:24:00,    62.96592,     1.05595,     2.17293,   127.50406,
2020-03-16 16:48:00,    64.22018,     1.07913,     2.20378,   130.52595,
2020-03-16 19:12:00,    65.50578,     1.10660,     2.23524,   133.66789,
2020-03-16 21:36:00,    66.82432,     1.13849,     2.26734,   136.92864,
2020-03-17 00:00:00,    68.17735,     1.17493,     2.30007,   140.30722,
2020-03-17 02:24:00,    69.56635,     1.21605,     2.33348,   143.80283,
2020-03-17 04:48:00,    70.99276,     1.26202,     2.36756,   147.41484,
2020-03-17 07:12:00,    72.45796,     1.31298,     2.40235,   151.14279,
2020-03-17 09:36:00,    73.96331,     1.36908,     2.43785,   154.98634,
2020-03-17 12:00:00,    75.51011,     1.43049,     2.47409,   158.94528,
2020-03-17 14:24:00,    77.09965,     1.49738,     2.51110,   163.01949,
2020-03-17 16:48:00,    78.73316,     1.56992,     2.54888,   167.20893,
2020-03-17 19:12:00,    80.41186,     1.64830,     2.58746,   171.51363,
2020-03-17 21:36:00,    82.13692,     1.73270,     2.62687,   175.93368,
2020-03-18 00:00:00,    83.90950,     1.82332,     2.66713,   180.46920,
2020-03-18 02:24:00,    85.73072,     1.92036,     2.70825,   185.12037,
2020-03-18 04:48:00,    87.60168,     2.02402,     2.75027,   189.88738,
2020-03-18 07:12:00,    89.52346,     2.13452,     2.79321,   194.77043,
2020-03-18 09:36:00,    91.49710,     2.25209,     2.83709,   199.76974,
2020-03-18 12:00:00,    93.52364,     2.37694,     2.88194,   204.88552,
2020-03-18 14:24:00,    95.60407,     2.50933,     2.92778,   210.11799,
2020-03-18 16:48:00,    97.73937,     2.64948,     2.97464,   215.46735,
2020-03-18 19:12:00,    99.93050,     2.79765,     3.02255,   220.93377,
2020-03-18 21:36:00,   102.17839,     2.95410,     3.07153,   226.51743,
2020-03-19 00:00:00,   104.48395,     3.11909,     3.12162,   232.21845,
2020-03-19 02:24:00,   106.84807,     3.29289,     3.17284,   238.03693,
2020-03-19 04:48:00,   109.27161,     3.47578,     3.22521,   243.97294,
2020-03-19 07:12:00,   111.75541,     3.66805,     3.27877,   250.02651,
2020-03-19 09:36:00,   114.30028,     3.86999,     3.33355,   256.19763,
2020-03-19 12:00:00,   116.90701,     4.08191,     3.38958,   262.48625,
2020-03-19 14:24:00,   119.57637,     4.30411,     3.44688,   268.89224,
2020-03-19 16:48:00,   122.30910,     4.53690,     3.50549,   275.41547,
2020-03-19 19:12:00,   125.10592,     4.78061,     3.56544,   282.05571,
2020-03-19 21:36:00,   127.96751,     5.03557,     3.62675,   288.81272,
2020-03-20 00:00:00,   130.89453,     5.30211,     3.68947,   295.68616,
2020-03-20 02:24:00,   133.88762,     5.58059,     3.75362,   302.67567,
2020-03-20 04:48:00,   136.94738,     5.87134,     3.81924,   309.78080,
2020-03-20 07:12:00,   140.07440,     6.17474,     3.88635,   317.00106,
2020-03-20 09:36:00,   143.26921,     6.49114,     3.95499,   324.33589,
2020-03-20 12:00:00,   146.53235,     6.82091,     4.02519,   331.78466,
2020-03-20 14:24:00,   149.86430,     7.16444,     4.09699,   339.34668,
2020-03-20 16:48:00,   153.26551,     7.52211,     4.17042,   347.02122,
2020-03-20 19:12:00,   156.73642,     7.89431,     4.24550,   354.80744,
2020-03-20 21:36:00,   160.27742,     8.28144,     4.32229,   362.70446,
2020-03-21 00:00:00,   163.88888,     8.68390,     4.40081,   370.71133,
2020-03-21 02:24:00,   167.57112,     9.10210,     4.48108,   378.82703,
2020-03-21 04:48:00,   171.32443,     9.53646,     4.56316,   387.05049,
2020-03-21 07:12:00,   175.14910,     9.98741,     4.64707,   395.38054,
2020-03-21 09:36:00,   179.04533,    10.45536,     4.73285,   403.81597,
2020-03-21 12:00:00,   183.01333,    10.94076,     4.82053,   412.35548,
2020-03-21 14:24:00,   187.05325,    11.44404,     4.91015,   420.99774,
2020-03-21 16:48:00,   191.16521,    11.96565,     5.00173,   429.74131,
2020-03-21 19:12:00,   195.34931,    12.50602,     5.09533,   438.58471,
2020-03-21 21:36:00,   199.60559,    13.06563,     5.19096,   447.52640,
2020-03-22 00:00:00,   203.93406,    13.64492,     5.28867,   456.56474,
2020-03-22 02:24:00,   208.33471,    14.24436,     5.38849,   465.69807,
2020-03-22 04:48:00,   212.80746,    14.86442,     5.49046,   474.92463,
2020-03-22 07:12:00,   217.35221,    15.50556,     5.59460,   484.24262,
2020-03-22 09:36:00,   221.96884,    16.16827,     5.70096,   493.65018,
2020-03-22 12:00:00,   226.65715,    16.85301,     5.80957,   503.14535,
2020-03-22 14:24:00,   231.41695,    17.56028,     5.92047,   512.72617,
2020-03-22 16:48:00,   236.24797,    18.29055,     6.03368,   522.39057,
2020-03-22 19:12:00,   241.14991,    19.04431,     6.14924,   532.13645,
2020-03-22 21:36:00,   246.12246,    19.82205,     6.26720,   541.96164,
2020-03-23 00:00:00,   251.16524,    20.62427,     6.38757,   551.86393,
2020-03-23 02:24:00,   256.27784,    21.45146,     6.51039,   561.84103,
2020-03-23 04:48:00,   261.45981,    22.30411,     6.63571,   571.89063,
2020-03-23 07:12:00,   266.71066,    23.18273,     6.76354,   582.01035,
2020-03-23 09:36:00,   272.02987,    24.08781,     6.89393,   592.19775,
2020-03-23 12:00:00,   277.41687,    25.01985,     7.02691,   602.45037,
2020-03-23 14:24:00,   282.87106,    25.97935,     7.16251,   612.76568,
2020-03-23 16:48:00,   288.39180,    26.96682,     7.30076,   623.14112,
2020-03-23 19:12:00,   293.97840,    27.98275,     7.44169,   633.57407,
2020-03-23 21:36:00,   299.63014,    29.02765,     7.58534,   644.06188,
2020-03-24 00:00:00,   305.34628,    30.10202,     7.73173,   654.60187,
2020-03-24 02:24:00,   311.12600,    31.20636,     7.88090,   665.19131,
2020-03-24 04:48:00,   316.96849,    32.34116,     8.03288,   675.82742,
2020-03-24 07:12:00,   322.87287,    33.50693,     8.18770,   686.50742,
2020-03-24 09:36:00,   328.83824,    34.70416,     8.34538,   697.22846,
2020-03-24 12:00:00,   334.86365,    35.93335,     8.50596,   707.98770,
2020-03-24 14:24:00,   340.94814,    37.19498,     8.66946,   718.78223,
2020-03-24 16:48:00,   347.09067,    38.48956,     8.83592,   729.60914,
2020-03-24 19:12:00,   353.29022,    39.81756,     9.00536,   740.46549,
2020-03-24 21:36:00,   359.54569,    41.17948,     9.17780,   751.34831,
2020-03-25 00:00:00,   365.85596,    42.57578,     9.35328,   762.25463,
2020-03-25 02:24:00,   372.21991,    44.00696,     9.53182,   773.18143,
2020-03-25 04:48:00,   378.63633,    45.47348,     9.71345,   784.12569,
2020-03-25 07:12:00,   385.10402,    46.97581,     9.89819,   795.08439,
